Restaurant,Address,Latitude,Longitude
"Culver’s of Gainesville, GA","Dawsonville Hwy, Georgia, USA",34.30490563337856,-83.86139883618272
"Culver’s of Grovetown, GA","Gateway Blvd, Georgia, USA",33.776613173577545,-84.15068110143766
"Culver’s of Jasper, GA","Hwy 515, Georgia, USA",34.4439542044954,-84.44288691355676
"Culver’s of Kennesaw, GA","Cobb Pkwy N, Georgia, USA",33.97773815,-84.55072195000001
"Culver’s of Lawrenceville, GA","Scenic Hwy S, Georgia, USA",33.8452494414529,-84.02943304078562
"Culver’s of Macon, GA","Northside Dr, Georgia, USA",33.791577300051706,-84.40800040175878
"Culver’s of McDonough, GA","Hwy 81 W, Georgia, USA",33.4265569,-84.1845992
"Culver’s of Newnan, GA","Newnan Crossing Byp, Georgia, USA",33.37723492285638,-84.7613791300488
"Culver’s of Pooler, GA","Tanger Outlet Blvd, Georgia, USA",32.132212716035525,-81.24787493105256
"Culver’s of Rockmart, GA","Nathan Dean Pkwy, Georgia, USA",34.0112227297306,-85.04873360679333
"Culver’s of Savannah, GA","W Montgomery Crossroad, Georgia, USA",31.9897645,-81.0759695
"Culver’s of Sugar Hill, GA","Peachtree Industrial Blvd, Georgia, USA",34.01971855,-84.16075225
"Culver’s of Johns Creek, GA","Peachtree Pkwy, Georgia, USA",34.068251348334435,-84.16814734390123
"Culver’s of Valdosta, GA","N Valdosta Rd, Georgia, USA",30.880308703972222,-83.3069566079058
"Culver’s of Warner Robins, GA","Hwy 96, Georgia, USA",32.5446188053582,-83.59193501592924
"Culver’s of Woodstock, GA","Hwy 92, Georgia, USA",34.08753727354016,-84.48358145233469
"Culver’s of Ammon, ID","25th East, Idaho, USA",43.50340783374184,-111.98396059693202
"Culver’s of Idaho Falls, ID","Pancheri Dr, Idaho, USA",43.483355002193015,-112.04529047759769
"Culver’s of Meridian, ID","E Ustick Rd, Idaho, USA",43.63387138166645,-116.3423820029229
"Culver’s of Twin Falls, ID","Pole Line Rd, Idaho, USA",42.898561100352495,-112.46623824292678
"Culver’s of Addison, IL","W Lake St, Illinois, USA",41.885832498927414,-87.73317531003106
"Culver’s of Antioch, IL","E IL Rte 173, Illinois, USA",42.466280722488044,-88.0576359455907
"Culver’s of Arlington Heights, IL","Northwest Hwy, Illinois, USA",42.22613964433299,-88.29510718467105
"Culver’s of Aurora, IL","State Rd 59, Illinois, USA",40.0761458,-87.9583671
"Culver’s of Bartlett, IL","Route 59, Illinois, USA",41.7780677,-88.2084482
"Culver’s of Batavia, IL","Randall Rd, Illinois, USA",42.00358980708451,-88.3360031652823
"Culver’s of Belvidere, IL","Big Thunder Blvd, Illinois, USA",42.27340878076694,-88.85868342288724
"Culver’s of Berwyn, IL","W Roosevelt Rd, Illinois, USA",41.86644709423089,-87.70217415048344
"Culver’s of Bloomingdale, IL","Schick Rd, Illinois, USA",41.95267775,-88.13244405
"Culver’s of Bloomington, IL","Hershey Rd, Illinois, USA",40.51382587848638,-88.9421750259519
"Culver’s of Bloomington, IL","W Market St, Illinois, USA",40.057035527142475,-87.64041854979912
"Culver’s of Bolingbrook, IL","N Bolingbrook Dr, Illinois, USA",41.702331300000004,-88.0683642
"Culver’s of Bourbonnais, IL","Convent St, Illinois, USA",38.771508996507166,-88.50010799820467
"Culver’s of Bridgeview, IL","S Harlem Ave, Illinois, USA",41.79979625,-87.8021404
"Culver’s of Buffalo Grove, IL","McHenry Rd, Illinois, USA",42.15703909353424,-87.9600194575244
"Culver’s of Carbondale, IL","Reed Station Rd, Illinois, USA",37.738384494138806,-89.16133781396425
"Culver’s of Carol Stream, IL","Schmale Rd, Illinois, USA",41.89695456710843,-88.10199337259091
"Culver’s of Carpentersville, IL","Miller Rd, Illinois, USA",39.82500415190274,-89.59680564102241
"Culver’s of Champaign, IL","W Marketview Dr, Illinois, USA",40.139173502292145,-88.26094541607463
"Culver’s of Champaign, IL","S Neil St, Illinois, USA",40.114850879634766,-88.24350700652825
"Culver’s of Chicago, IL","W Irving Park Rd, Illinois, USA",41.95412225145157,-87.68577425070585
"Culver’s of Chicago, IL","S Martin Luther King Dr, Illinois, USA",40.495322900102565,-89.01985096643045
"Culver’s of Chicago, IL","Montrose Ave, Illinois, USA",41.958327071066456,-87.8745962005519
"Culver’s of Chicago, IL","Cicero Ave, Illinois, USA",41.68123918012755,-87.73914641130419
"Culver’s of Chicago, IL","Doty Avenue, Illinois, USA",41.699778296155735,-87.59463577804398
"Culver’s of Chicago, IL","W Peterson Ave, Illinois, USA",41.990685799999994,-87.6822834
"Culver’s of Chicago, IL","W Chicago Ave JPSTC, Illinois, USA",41.8950384,-87.7352141
"Culver’s of Wrigleyville, IL","W Addison St, Illinois, USA",41.94648477168647,-87.71952009057397
"Culver’s of Collinsville, IL","United Dr, Illinois, USA",38.68834749493773,-90.01469357989913
"Culver’s of Crestwood, IL","Cicero Ave, Illinois, USA",41.68123918012755,-87.73914641130419
"Culver’s of Crete, IL","Volbrecht Rd, Illinois, USA",41.58432179990324,-87.57822936528079
"Culver’s of Crystal Lake, IL","Pingree Rd, Illinois, USA",42.234232,-88.29793674999999
"Culver’s of Danville, IL","N Vermilion St, Illinois, USA",40.16734910682771,-87.63062827059727
"Culver’s of Darien, IL","Plainfield Rd, Illinois, USA",41.53213835493641,-88.09300502129035
"Culver’s of Decatur, IL","E Aldi Dr, Illinois, USA",41.11277638150325,-88.40914006083737
"Culver’s of Decatur, IL","N Water St, Illinois, USA",42.27180969548037,-89.08914163171625
"Culver’s of DeKalb, IL","W Lincoln Hwy, Illinois, USA",41.93082865868094,-88.75631018150429
"Culver’s of Dixon, IL","N Galena Ave, Illinois, USA",42.149425449999995,-88.006937
"Culver’s of Downers Grove, IL","Ogden Ave, Illinois, USA",41.71692135567732,-88.28427408890693
"Culver’s of East Peoria, IL","Camp St, Illinois, USA",42.2384246,-88.95926115
"Culver’s of Edwardsville, IL","Old Troy Rd, Illinois, USA",38.77618854414453,-89.94750849971237
"Culver’s of Effingham, IL","W Fayette Ave, Illinois, USA",39.79191084642833,-89.66766782960758
"Culver’s of Elgin, IL","McLean Blvd, Illinois, USA",42.049575587014026,-88.31344357049042
"Culver’s of Elmhurst, IL","N York St, Illinois, USA",41.924648649999995,-87.9397228
"Culver’s of Elmwood Park, IL","W Grand Ave, Illinois, USA",41.9294831629272,-87.84116674786952
"Culver’s of Evergreen Park, IL","S Kedzie Ave, Illinois, USA",41.762704602445005,-87.70275518730594
"Culver’s of Fox Lake, IL","Hwy 12, Illinois, USA",42.3899016,-88.181047
"Culver’s of Fox River Grove, IL","Northwest Hwy, Illinois, USA",42.22613964433299,-88.29510718467105
"Culver’s of Frankfort, IL","S La Grange Rd, Illinois, USA",41.55213039919494,-87.85308947192051
"Culver’s of Franklin Park, IL","Rose St, Illinois, USA",41.97016566289474,-87.86578643287213
"Culver’s of Freeport, IL","Dirck Dr, Illinois, USA",42.28263875724036,-89.6348291939328
"Culver’s of Galena, IL","Oldenburg Ln, Illinois, USA",42.436909913636285,-90.44987788140442
"Culver’s of Galesburg, IL","N Henderson St, Illinois, USA",40.95124549490254,-90.38338394952818
"Culver’s of Geneseo, IL","S Oakwood Ave, Illinois, USA",40.66883718783879,-89.64698628349139
"Culver’s of Glenview, IL","Waukegan Rd, Illinois, USA",42.3418801088372,-87.8948747
"Culver’s of Grayslake, IL","N IL Rte 83, Illinois, USA",38.86160236734694,-90.07913859183672
"Culver’s of Gurnee, IL","Nations Dr, Illinois, USA",42.384480278376394,-87.94156910431013
"Culver’s of Harvard, IL","S Division St, Illinois, USA",41.54755744443595,-88.19975668183322
